Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),alk,KB08
AH6,Husen2016,IHPV,4.02,0.02,1200,gl-ol-cp-pl,47.63,1.07,15.99,11.5,0.23,7.74,13.31,2.4,0.14,0,0.1,0.05,100.16,4.304,2.73882,0.19882,1.764,2.54,10.4454
AH6,Husen2016,IHPV,7,0.02,1225,gl-ol-cp-pl,47.32,1.15,16.81,12.01,0.22,7.68,12.13,2.53,0.15,0,0.07,0.03,100.1,4.056,2.57948,-0.10052,1.376,2.68,7.2716
AH3,Husen2016,IHPV,1.01,0.02,1125,gl-ol-cp-pl,47.6,2.79,13.6,15.23,0.37,4.94,11.11,3.53,0.38,0.44,0.08,0,100.07,4.28,2.7234,-1.1866,0.37,3.91,3.1738
AH3,Husen2016,IHPV,1.06,0.02,1150,gl-ol-cp-pl,48.82,2.18,13.84,14.15,0.3,5.61,11.74,3.01,0.35,0,0.08,0,100.08,5.256,3.35048,-0.00952,1.896,3.36,6.7226
AH3,Husen2016,IHPV,2.03,0.02,1125,gl-ol-cp-pl,47.37,3.12,13.11,16.37,0.29,5.1,10.66,3.55,0.42,0,0.04,0,100.03,4.096,2.60518,-1.36482,0.126,3.97,4.8306
AH3,Husen2016,IHPV,2.02,0.02,1150,gl-ol-cp-pl,48.48,2.26,14.38,14.08,0.33,5.54,11.51,3.14,0.3,0,0.06,0,100.08,4.984,3.17572,-0.26428,1.544,3.44,2.2798
AH3,Husen2016,IHPV,2.02,0.02,1175,gl-ol-cp-pl,49.39,1.74,14.71,11.99,0.25,6.6,12.28,2.82,0.21,0,0.08,0,100.07,5.712,3.64346,0.61346,2.682,3.03,9.2571
AH3,Husen2016,IHPV,4.01,0.02,1150,gl-ol-cp-pl,46.16,3.5,11.61,18.56,0.3,6.04,10.62,2.77,0.44,0,0.08,0,100.08,3.128,1.98324,-1.22676,-0.082,3.21,6.802
AH3,Husen2016,IHPV,4.02,0.02,1175,gl-ol-cp-pl,48.48,1.99,14.89,12.97,0.28,6.52,11.48,2.85,0.26,0.28,0.07,0,100.07,4.984,3.17572,0.06572,1.874,3.11,15.4434
AH3,Husen2016,IHPV,7,0.02,1175,gl-ol-cp-pl,45.61,3.2,14.45,17.62,0.32,5,9.69,3.29,0.41,0,0.08,0,99.67,2.688,1.70054,-1.99946,-1.012,3.7,6.8834
AH5,Husen2016,IHPV,2.03,0.02,1125,gl-ol-cp-pl,49.06,2.86,12.65,16.22,0.49,4.79,10.05,3.02,0.34,0.52,0.09,0,100.09,5.448,3.47384,0.11384,2.088,3.36,14.5266
AH5,Husen2016,IHPV,4.02,0.02,1125,gl-ol-cp-pl,46.26,4.1,11.93,20.07,0.59,4.04,9.16,2.93,0.41,0.51,0.08,0,100.08,3.208,2.03464,-1.30536,-0.132,3.34,9.727
AH6,Husen2016,IHPV,1.02,,1100,gl-ol-cp-pl-ox,47.1,1.83,15.53,15.22,0.21,5,11.31,3.51,0.29,0,0.59,0.02,100.61,3.88,2.4664,-1.3336,0.08,3.8,6.8145
AH6,Husen2016,IHPV,1.05,,1125,gl-ol-cp-pl,47.81,1.6,15.06,13.85,0.25,6.04,11.74,3.4,0.25,0,0.37,0.04,100.41,4.448,2.83134,-0.81866,0.798,3.65,5.2087
AH6,Husen2016,IHPV,1.05,,1135,gl-ol-cp-pl,48.39,1.33,15.33,12.23,0.23,6.94,12.14,3.22,0.18,0,0.54,0.01,100.54,4.912,3.12946,-0.27054,1.512,3.4,5.0291
AH6,Husen2016,IHPV,1.08,,1155,gl-ol-cp-pl,48.22,1.35,14.9,12.76,0.23,6.78,12.5,2.99,0.18,0.1,0.59,0.04,100.64,4.776,3.04208,-0.12792,1.606,3.17,2.3228
AH6,Husen2016,IHPV,1.04,,1175,gl-ol-cp-pl,48.37,0.94,16.32,9.13,0.2,7.99,13.9,2.43,0.11,0,0.71,0.04,100.14,4.896,3.11918,0.57918,2.356,2.54,8.1801
AH6,Husen2016,IHPV,2.05,,1125,gl-ol-cp-pl,48.88,1.47,16.01,13.02,0.24,6.24,10.91,3.03,0.21,0,0.59,0.03,100.63,5.304,3.38132,0.14132,2.064,3.24,4.9786
AH6,Husen2016,IHPV,2.03,,1175,gl-ol-cp-pl-sp,47.83,1.27,15.71,11.14,0.25,7.36,12.73,2.79,0.13,0,0.59,0.04,99.84,4.464,2.84162,-0.07838,1.544,2.92,13.8674
AH6,Husen2016,IHPV,4.01,,1125,gl-ol-cp-pl-ox,47.39,1.94,16.32,15.11,0.3,5.32,9.77,3.51,0.34,0,0.59,0.02,100.61,4.112,2.61546,-1.23454,0.262,3.85,12.3152
AH6,Husen2016,IHPV,3.97,,1150,gl-ol-cp-pl-ox,47.54,2.15,15.41,14.81,0.29,5.99,10.05,3.16,0.39,0.19,0.59,0.02,100.59,4.232,2.69256,-0.85744,0.682,3.55,10.1081
